Gruppe;Code;EANNummer;Hersteller;Deutsche Produktbezeichnung;Englische Produktbezeichnung;Menge;Einheit;ISO-Code;Chemica BioChemica;CAS-Nr;eClass-Version;eClass;NAG;HS-Nr;EG-Nr;Summenformel;UN-Nr;Tunnelbeschränkungscode;Transportbezeichnung Landverkehr;Klasse / Verpackungsgruppe;Begrenzte Menge (LQ);Dichte;Schmelzpunkt;Lagerung;Haltbarkeit in Monaten;LGK;WGK;M;H-Sätze;P-Sätze;Signalwort;Gefahrstoffsymbole;Versand;Trockeneiszuschlag;Chargenpflicht;Endverbleibserklärung;Exportverbote und -einschränkungen;Chemiewaffentauglich;Explosivstoffetauglichkeit;Drogenausgangsstoff;Bruttogewicht;Nettogewicht;Volumen;Produktlink;Produktinfo;Sicherheitsdatenblatt Deutschland;Sicherheitsdatenblatt Schweiz;Analysezertifikat verfügbar;Bild;PHYSIKALISCHE DATEN;QUALITÄT;HEADLINE KOMMENTAR;KURZBESCHREIBUNG;URSPRUNG;PHYSICAL DESCRIPTION;QUALTIY;HEADLINE COMMENT;SHORTDESCRIPTION;Origin;Tunnel code;N.A.G.;Technicher Name
LC;100004RF;;PanReac AppliChem;"Metallschlüssel für Fässer mit 2"" und ¾"" Verschlüssen (Trisure)";"Metal wrench for drums with 2"" and ¾"" closures (Tri-Sure)";1;Stk;PCE;;;;;;39235090;;;;;;;Nein;;;;;;;;;;;;RT;Nein;Nein;Nein;;Nein;Nein;;;;;https://www.itwreagents.com/download_file/tds/100004RF/en/tds_100004RF_en.pdf;;https://www.itwreagents.com/download_file/sds/100004RF/de/sds_100004RF_de.pdf;https://www.itwreagents.com/download_file/sds/100004RF/ch/sds_100004RF_de.pdf;Nein;LC-group.png;;;;;;;;;;;;;
LC;121010.1212;8432647208181;PanReac AppliChem;Schwefelsäure 90 - 91% nach Gerber zur Analyse;Sulfuric Acid 90-91% according to Gerber for analysis;2,5;L;LTR;Chemica;7664-93-9;6.2;38030402;;28070000;231-639-5;H?SO?;UN1830;(E);SCHWEFELSÄURE;8/II;Nein;1,823 kg/l;;;72;8 B;1;98,08 g/mol;H314;P260-P264-P280-P301+P330+P331-P303+P361+P353-P304+P340-P305+P351+P338-P310-P321-P338-P363-P405-P501;Gefahr;GHS05;RT;Nein;Ja;Ja;"***Drug Precursors Kat 3***

***Produkt unterliegt der Verordnung (EU) 2019/1148.***";Nein;Ja;3;4,721;4,558;2,5;https://www.itwreagents.com/download_file/tds/121010/en/tds_121010_en.pdf;;https://www.itwreagents.com/download_file/sds/121010/de/sds_121010_de.pdf;https://www.itwreagents.com/download_file/sds/121010/ch/sds_121010_de.pdf;Ja;LC-group.png;flüssig;zur Analyse;für Bestimmung von Milchfett;;;liquid;for analysis;for determination of fat in milk;;;(E);;Sulphuric acid
LC;121010.1214;8432647208198;PanReac AppliChem;Schwefelsäure 90 - 91% nach Gerber zur Analyse;Sulfuric Acid 90-91% according to Gerber for analysis;5;L;LTR;Chemica;7664-93-9;6.2;38030402;;28070000;231-639-5;H?SO?;UN1830;(E);SCHWEFELSÄURE;8/II;Nein;1,823 kg/l;;;72;8 B;1;98,08 g/mol;H314;P260-P264-P280-P301+P330+P331-P303+P361+P353-P304+P340-P305+P351+P338-P310-P321-P338-P363-P405-P501;Gefahr;GHS05;RT;Nein;Ja;Ja;"***Drug Precursors Kat 3***

***Produkt unterliegt der Verordnung (EU) 2019/1148.***";Nein;Ja;3;9,415;9,115;5;https://www.itwreagents.com/download_file/tds/121010/en/tds_121010_en.pdf;;https://www.itwreagents.com/download_file/sds/121010/de/sds_121010_de.pdf;https://www.itwreagents.com/download_file/sds/121010/ch/sds_121010_de.pdf;Ja;LC-group.png;flüssig;zur Analyse;für Bestimmung von Milchfett;;;liquid;for analysis;for determination of fat in milk;;;(E);;Sulphuric acid
LC;121010.1611;8432647208204;PanReac AppliChem;Schwefelsäure 90 - 91% nach Gerber zur Analyse;Sulfuric Acid 90-91% according to Gerber for analysis;1000;ml;MLT;Chemica;7664-93-9;6.2;38030402;;28070000;231-639-5;H?SO?;UN1830;(E);SCHWEFELSÄURE;8/II;Ja;1,823 kg/l;;;72;8 B;1;98,08 g/mol;H314;P260-P264-P280-P301+P330+P331-P303+P361+P353-P304+P340-P305+P351+P338-P310-P321-P338-P363-P405-P501;Gefahr;GHS05;RT;Nein;Ja;Ja;"***Drug Precursors Kat 3***

***Produkt unterliegt der Verordnung (EU) 2019/1148.***";Nein;Ja;3;2,530;1,823;1;https://www.itwreagents.com/download_file/tds/121010/en/tds_121010_en.pdf;;https://www.itwreagents.com/download_file/sds/121010/de/sds_121010_de.pdf;https://www.itwreagents.com/download_file/sds/121010/ch/sds_121010_de.pdf;Ja;121010.1611.png;flüssig;zur Analyse;für Bestimmung von Milchfett;;;liquid;for analysis;for determination of fat in milk;;;(E);;Sulphuric acid
LC;121010.1612;8432647208211;PanReac AppliChem;Schwefelsäure 90 - 91% nach Gerber zur Analyse;Sulfuric Acid 90-91% according to Gerber for analysis;2,5;L;LTR;Chemica;7664-93-9;6.2;38030402;;28070000;231-639-5;H?SO?;UN1830;(E);SCHWEFELSÄURE;8/II;Nein;1,823 kg/l;;;72;8 B;1;98,08 g/mol;H314;P260-P264-P280-P301+P330+P331-P303+P361+P353-P304+P340-P305+P351+P338-P310-P321-P338-P363-P405-P501;Gefahr;GHS05;RT;Nein;Ja;Ja;"***Drug Precursors Kat 3***

***Produkt unterliegt der Verordnung (EU) 2019/1148.***";Nein;Ja;3;5,908;4,558;2,5;https://www.itwreagents.com/download_file/tds/121010/en/tds_121010_en.pdf;;https://www.itwreagents.com/download_file/sds/121010/de/sds_121010_de.pdf;https://www.itwreagents.com/download_file/sds/121010/ch/sds_121010_de.pdf;Ja;121010.1612.png;flüssig;zur Analyse;für Bestimmung von Milchfett;;;liquid;for analysis;for determination of fat in milk;;;(E);;Sulphuric acid
LC;121029.1611;8432647208365;PanReac AppliChem;Ameisensäure 85% zur Analyse;Formic Acid 85% for analysis;1000;ml;MLT;;64-18-6;6.2;39021301;;29151100;200-579-1;;UN1779;(D/E);AMEISENSÄURE;8(3)/II;Ja;1,20 kg/l;;;72;3;1;46,03 g/mol;EUH071-H302-H314-H331;P260-P264-P280-P301+P330+P331-P303+P361+P353-P304+P340-P305+P351+P338-P310-P321-P338-P363-P405-P501;Gefahr;GHS05 GHS06;RT;Nein;Ja;Nein;;Nein;Nein;;1,907;1,200;1;https://www.itwreagents.com/download_file/tds/121029/en/tds_121029_en.pdf;;https://www.itwreagents.com/download_file/sds/121029/de/sds_121029_de.pdf;https://www.itwreagents.com/download_file/sds/121029/ch/sds_121029_de.pdf;Ja;LC-group.png;flüssig;zur Analyse;;;;liquid;for analysis;;;;(D/E);;Formic acid
LC;121038.2411;8432647208495;PanReac AppliChem;Salpetersäure rauchend (Reag. Ph. Eur.) zur Analyse;Nitric Acid fuming (Reag. Ph. Eur.) for analysis;1000;ml;MLT;Chemica;7697-37-2;6.2;32140000;;28080000;231-714-2;HNO?;UN2032;(C/D);SALPETERSÄURE, ROTRAUCHEND;8(5.1,6.1)/I;Nein;1,502 kg/l;-40 °C;;12;5.1 A;1;63,01 g/mol;H272-H290-H314-H330;P210-P220-P221-P260-P264-P280-P301+P330+P331-P303+P361+P353-P304+P340-P305+P351+P338-P310-P321-P338-P363-P370+P378-P405-P501;Gefahr;GHS03 GHS05 GHS06;RT;Nein;Ja;Ja;"***Produkt unterliegt bei der Ausfuhr aus der Gemeinschaft der Ausfuhrkontrolle (EG VO 2021/821).***

***Produkt unterliegt bei der Ausfuhr aus der USA der Ausfuhrkontrolle (ECCN: 1C111.a.3.e).***

***Produkt unterliegt der Verordnung (EU) 2019/1148.***";ja;Ja;;2,502;1,502;1;https://www.itwreagents.com/download_file/tds/121038/en/tds_121038_en.pdf;;https://www.itwreagents.com/download_file/sds/121038/de/sds_121038_de.pdf;https://www.itwreagents.com/download_file/sds/121038/ch/sds_121038_de.pdf;Ja;121038.2411.png;flüssig,rauchend;zur Analyse;;;;liquid,fuming;for analysis;;;;(C/D);;Nitric acid, red fuming
LC;121076.1211;8432647208624;PanReac AppliChem;Wasserstoffperoxid 30% (w/v)(100 vol.) zur Analyse;Hydrogen Peroxide 30% w/v (100 vol.) for analysis;1000;ml;MLT;;7722-84-1;6.2;38010301;;28470000;231-765-0;H?O?;UN2014;(E);WASSERSTOFFPEROXID, WÄSSERIGE LÖSUNG;5.1(8)/II;Ja;1,10 kg/l;-26 °C;;72;5.1 B;1;34,01 g/mol;H302-H318-H332;P264-P270-P280-P301+P312-P305+P351+P338-P310-P330-P501;Gefahr;GHS05 GHS07;RT;Nein;Ja;Ja;***Produkt unterliegt der Verordnung (EU) 2019/1148.***;Nein;Ja;;1,190;1,100;1;https://www.itwreagents.com/download_file/tds/121076/en/tds_121076_en.pdf;;https://www.itwreagents.com/download_file/sds/121076/de/sds_121076_de.pdf;https://www.itwreagents.com/download_file/sds/121076/ch/sds_121076_de.pdf;Ja;121076.1211.png;flüssig;zur Analyse;;;;liquid;for analysis;;;;(E);;Hydrogen peroxide, aqueous solution
LC;121079.0716;8432647208655;PanReac AppliChem;Isoamylalkohol nach Gerber zur Analyse;Isoamyl Alcohol according to Gerber for analysis;25;L;LTR;Chemica;123-51-3;6.2;39020206;;29051900;204-633-5;C?H??OH;UN1105;(D/E);PENTANOLE;3/III;Nein;0,810 kg/l;-117,2 °C;;72;3;1;88,15 g/mol;H226-H315-H318-H332-H335;P210-P233-P240-P241-P242-P243-P261-P264-P271-P280-P302+P352-P303+P361+P353-P304+P340-P305+P351+P338-P312-P332+P313-P337+P313-P362-P370+P378-P403+P233-P403+P235-P405-P501;Gefahr;GHS02 GHS05 GHS07;RT;Nein;Ja;Nein;;Nein;Nein;;21,750;20,250;25;https://www.itwreagents.com/download_file/tds/121079/en/tds_121079_en.pdf;;https://www.itwreagents.com/download_file/sds/121079/de/sds_121079_de.pdf;https://www.itwreagents.com/download_file/sds/121079/ch/sds_121079_de.pdf;Ja;LC-group.png;flüssig;zur Analyse;zur Bestimmung von Fetten in der Milch;;;liquid;for analysis;for determination of fat in milk;;;(D/E);;Pentanole
LC;121079.1211;8432647208679;PanReac AppliChem;Isoamylalkohol nach Gerber zur Analyse;Isoamyl Alcohol according to Gerber for analysis;1000;ml;MLT;Chemica;123-51-3;6.2;39020206;;29051900;204-633-5;C?H??OH;UN1105;(D/E);PENTANOLE;3/III;Ja;0,810 kg/l;-117,2 °C;;72;3;1;88,15 g/mol;H226-H315-H318-H332-H335;P210-P233-P240-P241-P242-P243-P261-P264-P271-P280-P302+P352-P303+P361+P353-P304+P340-P305+P351+P338-P312-P332+P313-P337+P313-P362-P370+P378-P403+P233-P403+P235-P405-P501;Gefahr;GHS02 GHS05 GHS07;RT;Nein;Ja;Nein;;Nein;Nein;;0,890;0,810;1;https://www.itwreagents.com/download_file/tds/121079/en/tds_121079_en.pdf;;https://www.itwreagents.com/download_file/sds/121079/de/sds_121079_de.pdf;https://www.itwreagents.com/download_file/sds/121079/ch/sds_121079_de.pdf;Ja;LC-group.png;flüssig;zur Analyse;zur Bestimmung von Fetten in der Milch;;;liquid;for analysis;for determination of fat in milk;;;(D/E);;Pentanole
